Designator,Comment,Footprint,JLCPCB Part #
"3.3V_TEST1,5V_TEST1,12V_TEST1",LED,SamacSys_Parts:WP710A10ID,C5831626
C1,100uF 25V,SamacSys_Parts:CAPPRD200W50D550H1250,C108360
C2,2.2nF,SamacSys_Parts:CAPC1608X95N,C2199229
C3,10uF,SamacSys_Parts:C1812_FT,C3904240
"C4,C16",100nF,SamacSys_Parts:C0603,C127833
"C5,C6",22uF,SamacSys_Parts:C4532_Commercial,C1845355
"C7,C8",1uF,SamacSys_Parts:CAPC1608X90N,C29936
"C9,C17,C18",47uF,SamacSys_Parts:CAPPRD200W50D500H1250,C1580484
"C10,C11,C12,C13,C14",0.1uF,SamacSys_Parts:C0603,C127833
C15,10nF,SamacSys_Parts:C0603,C19271112
C19,1uF,SamacSys_Parts:C0603,C29936
F1,Fuse,SamacSys_Parts:01530008,C206907
J1,Screw_Terminal_01x02,SamacSys_Parts:1714971,C92145
L1,4.7uH,SamacSys_Parts:SRN6045_1,C780210
"R1,R2,R3",18k,SamacSys_Parts:RESC1608X55N,C137655
"R4,R5",4.7k,SamacSys_Parts:RESC1608X55N,C99782
R6,270,SamacSys_Parts:RESC1608X55N,C137754
R7,620,SamacSys_Parts:RESC1608X55N,C137695
R8,2k,SamacSys_Parts:RESC1608X55N,C105576
"Thruster1,Thruster2,Thruster3",Motor_DC,SamacSys_Parts:1729128,C7509570
U1,AP63205WU,SamacSys_Parts:AP63205WU7,C2071056
U2,MIC5504-3.3YM5,SamacSys_Parts:SOT95P280X145-5N,C88419
"U4,U5,U6",DRV8871DDA,SamacSys_Parts:SOIC127P600X170-9N,C75864
U7,MPU-6050,SamacSys_Parts:MPU6050,C24112
